source,target,grade_source,grade_target,source_node,target_node,granger_causes,lag,p_value,adjusted_p_value,test_statistic,n_observations,r2_restricted,r2_augmented
104,102,low2,med1,M104_low2,M102_med1,True,4,6.962730259019168e-07,3.1503500844086724e-06,8.617368736712915,1704,0.005855504475388185,0.025669464350620563
104,102,med1,med1,M104_med1,M102_med1,True,4,0.00982647292983685,0.022414103542437773,3.340381063341616,1704,0.005855504475388185,0.013630958089697498
104,102,med2,med1,M104_med2,M102_med1,True,4,0.00010604458844187814,0.0003591203240485689,5.883364164573044,1704,0.005855504475388185,0.019469237921696192
105,102,low1,med1,M105_low1,M102_med1,False,4,0.9991086574708937,0.9999999999922596,0.021401839118207616,1704,0.005855504475388185,0.0059057120176176925
105,102,low2,med1,M105_low2,M102_med1,False,4,0.9988667861876865,0.9999999999922596,0.024176127530537668,1704,0.005855504475388185,0.005912219974966826
105,102,med1,med1,M105_med1,M102_med1,True,4,0.011935310282540912,0.02667324403223718,3.2275178355733525,1704,0.005855504475388185,0.01337023055911235
105,102,med2,med1,M105_med2,M102_med1,True,4,0.002929770533904086,0.007351060612341161,4.033613231528609,1704,0.005855504475388185,0.015229389465763243
106,102,low1,med1,M106_low1,M102_med1,False,4,0.9979183400520291,0.9999999999922596,0.03295886339343234,1704,0.005855504475388185,0.0059328220549086375
106,102,low2,med1,M106_low2,M102_med1,False,4,0.9974993645346021,0.9999999999922596,0.03620162789144313,1704,0.005855504475388185,0.005940428545494925
106,102,med1,med1,M106_med1,M102_med1,False,4,0.321310036482634,0.5247430181609881,1.171868993478758,1704,0.005855504475388185,0.00859720170105105
106,102,med2,med1,M106_med2,M102_med1,False,4,0.3169490491370661,0.5191568994767374,1.1816285716794466,1704,0.005855504475388185,0.00861997165388062
101,102,low1,med2,M101_low1,M102_med2,True,4,0.003409072231848831,0.008438600322782756,3.9475712443768307,1704,0.0012626765793266603,0.01048084147830064
101,102,low2,med2,M101_low2,M102_med2,True,4,8.134936946291305e-09,4.629366179745155e-08,11.010076924557639,1704,0.0012626765793266603,0.026555189259134027
101,102,med1,med2,M101_med1,M102_med2,True,4,2.3314683517128287e-15,2.1449508835758023e-14,19.08447236927441,1704,0.0012626765793266603,0.0443044360679391
101,102,med2,med2,M101_med2,M102_med2,False,4,0.13131364253771471,0.23922485373207436,1.7746451043330806,1704,0.0012626765793266603,0.005427897846566387
102,102,low1,med2,M102_low1,M102_med2,False,4,0.5890171997939253,0.8315536938267181,0.7042520549999103,1704,0.0012626765793266603,0.002919775805023561
102,102,low2,med2,M102_low2,M102_med2,False,4,0.9450359520875831,0.9999999999922596,0.18740532887822361,1704,0.0012626765793266603,0.0017041773627108903
102,102,med1,med2,M102_med1,M102_med2,True,4,2.1204370392102767e-05,8.242825673549809e-05,6.764805268374461,1704,0.0012626765793266603,0.016956128754535005
103,102,low1,med2,M103_low1,M102_med2,True,4,3.657617986263517e-09,2.218686954304903e-08,11.438597857020246,1704,0.0012626765793266603,0.02751371960678939
103,102,low2,med2,M103_low2,M102_med2,True,4,0.0,0.0,23.799291677063895,1704,0.0012626765793266603,0.05437244864441071
103,102,med1,med2,M103_med1,M102_med2,True,4,0.0,0.0,25.654036285680785,1704,0.0012626765793266603,0.058275167492092494
103,102,med2,med2,M103_med2,M102_med2,True,4,0.0,0.0,25.259205947924702,1704,0.0012626765793266603,0.05744707415064876
104,102,low1,med2,M104_low1,M102_med2,True,4,0.004937522576101694,0.011747898543138513,3.7363811908538893,1704,0.0012626765793266603,0.009991991743560469
104,102,low2,med2,M104_low2,M102_med2,True,4,0.00011248443794342755,0.00037631157421073945,5.850934531936606,1704,0.0012626765793266603,0.014864943763178706
104,102,med1,med2,M104_med1,M102_med2,False,4,0.5721856967440273,0.8119447419092624,0.7288929695307781,1704,0.0012626765793266603,0.0029776561118932676
104,102,med2,med2,M104_med2,M102_med2,True,4,0.018563237513264164,0.03998041544319967,2.9691873942945084,1704,0.0012626765793266603,0.008212067088387509
105,102,low1,med2,M105_low1,M102_med2,False,4,0.9999987990069392,0.9999999999922596,0.000774861425898607,1704,0.0012626765793266603,0.0012645028486161225
105,102,low2,med2,M105_low2,M102_med2,False,4,0.9999854175064684,0.9999999999922596,0.002703517873939779,1704,0.0012626765793266603,0.0012690484660020651
105,102,med1,med2,M105_med1,M102_med2,False,4,0.739086018042979,0.9869341617210823,0.49547530627271485,1704,0.0012626765793266603,0.0024290995820719363
105,102,med2,med2,M105_med2,M102_med2,False,4,0.6549210161912067,0.9065928003561045,0.6107600409182895,1704,0.0012626765793266603,0.0027001064879266234
106,102,low1,med2,M106_low1,M102_med2,False,4,0.9999971988268124,0.9999999999922596,0.0011837020613773553,1704,0.0012626765793266603,0.001265466441571217
106,102,low2,med2,M106_low2,M102_med2,False,4,0.9999930876508808,0.9999999999922596,0.001860293896465991,1704,0.0012626765793266603,0.0012670610909265578
106,102,med1,med2,M106_med1,M102_med2,False,4,0.765253307175138,0.9999999999922596,0.4598463426495782,1704,0.0012626765793266603,0.0023453145930413255
106,102,med2,med2,M106_med2,M102_med2,False,4,0.8326948563659519,0.9999999999922596,0.3663737873954889,1704,0.0012626765793266603,0.0021254378364015114
101,103,low1,low1,M101_low1,M103_low1,True,4,0.004129715722488769,0.009954598597440177,3.838391937012032,1704,0.013066077950080857,0.021925624374152464
101,103,low2,low1,M101_low2,M103_low1,True,4,1.4681738824684487e-08,8.104319831225838e-08,10.69336327932924,1704,0.013066077950080857,0.03735841120500838
101,103,med1,low1,M101_med1,M103_low1,True,4,0.003809318828759345,0.009304176962279462,3.884409019319286,1704,0.013066077950080857,0.022030873456304167
101,103,med2,low1,M101_med2,M103_low1,False,4,0.22663308786194158,0.38731103560307045,1.4146878166101047,1704,0.013066077950080857,0.0163499898913414
102,103,low1,low1,M102_low1,M103_low1,True,4,3.1249348946271738e-06,1.3167664594154198e-05,7.805529405715708,1704,0.013066077950080857,0.030916716454625903
102,103,low2,low1,M102_low2,M103_low1,True,4,2.93307156340461e-10,1.904771179999229e-09,12.789893746427385,1704,0.013066077950080857,0.04198160246133098
102,103,med1,low1,M102_med1,M103_low1,True,4,0.0,0.0,39.279338138762675,1704,0.013066077950080857,0.09678887486969301
102,103,med2,low1,M102_med2,M103_low1,True,4,0.0,0.0,25.003596179717608,1704,0.013066077950080857,0.0680559375368962
103,103,low2,low1,M103_low2,M103_low1,False,4,0.6718144535861488,0.9199452657854963,0.5873770665056235,1704,0.013066077950080857,0.014432213443437925
103,103,med1,low1,M103_med1,M103_low1,True,4,0.00015755220751956234,0.000502709933819644,5.665362831474247,1704,0.013066077950080857,0.02608689472345993
103,103,med2,low1,M103_med2,M103_low1,True,4,0.008013233014014243,0.018585313545108662,3.458297857771586,1704,0.013066077950080857,0.021055415904194463
104,103,low1,low1,M104_low1,M103_low1,False,4,0.06278910208890998,0.12204078997562785,2.237891486897114,1704,0.013066077950080857,0.018250852133629314
104,103,low2,low1,M104_low2,M103_low1,True,4,0.015807328156355993,0.034488715977503984,3.0635139426482287,1704,0.013066077950080857,0.020149934791311774
104,103,med1,low1,M104_med1,M103_low1,True,4,1.927406650947816e-07,9.415296206399951e-07,9.309706124309066,1704,0.013066077950080857,0.03428270154368551
104,103,med2,low1,M104_med2,M103_low1,True,4,0.00012308207662503623,0.0004044125374822619,5.801385318753886,1704,0.013066077950080857,0.026395295737870916
105,103,low1,low1,M105_low1,M103_low1,True,4,0.0,0.0,47.68663636944331,1704,0.013066077950080857,0.11289616206043296
105,103,low2,low1,M105_low2,M103_low1,True,4,0.0,0.0,39.07234411928459,1704,0.013066077950080857,0.09638492008314559
105,103,med1,low1,M105_med1,M103_low1,True,4,0.0015484997017107816,0.0041799582514983925,4.393785679608105,1704,0.013066077950080857,0.023194395301549875
105,103,med2,low1,M105_med2,M103_low1,True,4,0.00024934745027516136,0.0007732572615274667,5.411845552947424,1704,0.013066077950080857,0.02551157843537477
106,103,low1,low1,M106_low1,M103_low1,True,4,0.0,0.0,56.85211824318734,1704,0.013066077950080857,0.12981396961501734
106,103,low2,low1,M106_low2,M103_low1,True,4,0.0,0.0,60.191693805567695,1704,0.013066077950080857,0.13581893269010636
106,103,med1,low1,M106_med1,M103_low1,True,4,1.5053069901682647e-11,1.0933282349643186e-10,14.378712176460569,1704,0.013066077950080857,0.04545573516256152
106,103,med2,low1,M106_med2,M103_low1,True,4,9.142464563183239e-12,6.819784376861011e-11,14.645451912788564,1704,0.013066077950080857,0.04603652331719499
101,103,low1,low2,M101_low1,M103_low2,False,4,0.02486695102148284,0.05121849613380047,2.7965126358722725,1704,0.020872831545592052,0.027292158436317493
